#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:06:30Z,50.7,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:07:10Z,49.79,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:07:40Z,50.31,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:08:00Z,52.51,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:08:30Z,50.135000000000005,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:09:40Z,49.47,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:09:50Z,50.8,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:10:10Z,50.56,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:10:20Z,50.06,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:10:50Z,50.04,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:11:00Z,50.16,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:11:20Z,50.53,H2,Aty,Esp-4
,,0,2022-06-24T07:06:11.221722719Z,2022-06-24T08:06:11.221722719Z,2022-06-24T07:11:40Z,50.93,H2,Aty,Esp-4
