#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:07:50Z,7.02,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:08:10Z,6.99,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:08:20Z,6.87,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:08:40Z,7.1,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:09:00Z,6.85,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:09:10Z,7.08,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:09:30Z,6.99,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:09:50Z,6.85,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:10:10Z,7.02,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:10:30Z,7,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:10:40Z,7.03,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:11:10Z,6.93,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:11:20Z,6.97,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:11:50Z,6.92,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:12:00Z,7.11,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:12:10Z,7.09,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:12:40Z,6.85,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:12:50Z,6.93,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:13:10Z,6.93,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:13:30Z,6.99,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:13:40Z,6.85,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:14:00Z,6.86,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:14:40Z,6.91,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:14:50Z,6.86,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:15:00Z,6.93,NH4,Aty,Esp-4
,,0,2022-06-23T04:07:33.276048142Z,2022-06-23T05:07:33.276048142Z,2022-06-23T04:15:10Z,6.98,NH4,Aty,Esp-4
