#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:14:40Z,77.38,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:15:00Z,76.32,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:15:30Z,74.86,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:15:40Z,76.5,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:16:00Z,78.86,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:16:10Z,78.21,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:16:50Z,76.8,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:17:10Z,75.44,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:17:30Z,75.35,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:17:40Z,75.37,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:18:00Z,75.57,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:19:10Z,73.76,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:19:40Z,74.74,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:19:50Z,73.17,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:20:20Z,72.89,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:20:50Z,71.99,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:21:10Z,71.4,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:21:20Z,71.75,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:21:40Z,71.96,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:21:50Z,72.94,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:22:20Z,72.02,H2,Aty,Esp-4
,,0,2022-05-31T02:14:04.9831652Z,2022-05-31T03:14:04.9831652Z,2022-05-31T02:22:50Z,71.015,H2,Aty,Esp-4
