#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:46:30Z,52.4,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:46:50Z,51.9,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:47:10Z,52.15,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:47:30Z,52.24,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:47:40Z,51.64,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:48:00Z,51.08,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:48:30Z,52.56,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:48:40Z,51.68,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:48:50Z,51.8,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:49:10Z,51.08,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:49:50Z,51.95,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:50:10Z,52.34,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:50:20Z,52.25,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:50:40Z,52.65,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:51:30Z,42.65,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:51:50Z,51.69,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:52:10Z,52.27,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:53:00Z,52.35,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:53:20Z,52.14,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:53:50Z,51.96,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:54:20Z,52.77,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:54:50Z,52.3,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:55:10Z,51.58,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:55:50Z,52.24,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:56:10Z,51.9,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:56:30Z,51.37,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:57:00Z,52.05,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:57:20Z,51.84,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:57:30Z,51.94,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:58:10Z,52.64,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:58:40Z,51.98,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:58:50Z,51.77,H2,Aty,Esp-4
,,0,2022-05-30T03:46:23.240397101Z,2022-05-30T04:46:23.240397101Z,2022-05-30T03:59:10Z,52.39,H2,Aty,Esp-4
