#group;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE
#datatype;string;long;dateTime:RFC3339;dateTime:RFC3339;dateTime:RFC3339;double;string;string;string
#default;mean;;;;;;;;
;result;table;_start;_stop;_time;_value;_field;_measurement;host
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:07:50Z;49.83;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:08:10Z;49.86;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:08:30Z;49.04;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:08:40Z;50.14;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:09:00Z;49.25;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:09:20Z;48.86;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:09:40Z;49.85;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:10:00Z;48.53;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:10:10Z;49.91;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:10:30Z;49.25;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:10:50Z;49.06;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:11:20Z;50.66;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:11:40Z;48.17;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:12:00Z;48.38;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:12:20Z;48.39;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:12:40Z;48.68;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:13:00Z;48.21;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:13:20Z;48.26;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:13:30Z;48.61;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:13:50Z;47.91;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:14:10Z;48.02;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:14:40Z;47.93;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:15:00Z;48.29;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:15:20Z;47.82;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:15:40Z;48.3;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:15:50Z;47.59;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:16:00Z;47.59;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:16:10Z;47.55;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:16:30Z;47.43;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:17:00Z;47.44;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:17:10Z;48.18;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:17:20Z;48.5;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:17:40Z;47.58;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:18:00Z;47.42;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:18:20Z;46.95;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:18:40Z;47.19;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:18:50Z;47.23;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:19:10Z;47.27;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:19:30Z;46.83;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:20:00Z;47.13;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:20:10Z;47.2;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:20:30Z;46.99;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:20:40Z;46.92;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:21:00Z;47.11;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:21:20Z;46.75;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:21:40Z;46.97;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:22:00Z;47.21;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:22:10Z;46.87;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:22:30Z;46.61;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:22:50Z;46.79;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:23:10Z;46.72;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:23:30Z;46.56;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:23:50Z;46.7;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:24:00Z;46.41;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:24:20Z;47.3;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:25:10Z;46.125;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:25:30Z;46.25;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:25:50Z;45.88;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:26:10Z;46.35;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:26:30Z;45.38;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:26:40Z;45.81;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:27:10Z;46.92;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:27:20Z;47.04;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:27:40Z;47.66;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:28:00Z;49.14;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:28:10Z;51.19;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:28:30Z;52.17;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:28:50Z;53.08;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:29:10Z;54.75;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:29:30Z;54.52;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:29:40Z;55.25;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:30:00Z;54.82;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:30:20Z;54.94;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:30:40Z;55.18;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:31:20Z;53.94;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:31:30Z;55.91;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:31:50Z;55.16;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:32:10Z;56.72;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:32:30Z;54.86;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:32:40Z;54.4;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:33:30Z;53.23;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:33:40Z;54.29;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:34:00Z;53.66;H2;Aty;Esp-4
;;0;2022-06-10T02:07:38.935724951Z;2022-06-10T03:07:38.935724951Z;2022-06-10T02:34:10Z;52.58;H2;Aty;Esp-4
